diagnostic_group,total,high,medium,low,no_link,high_pct,medium_pct,low_pct,no_link_pct
ambiguous_multiple_targets,20003,0,0,20003,0,0.0,0.0,100.0,0.0
medium_similarity,10141,0,10141,0,0,0.0,100.0,0.0,0.0
missing_or_unlinked,6869,0,0,0,6869,0.0,0.0,0.0,100.0
no_shared_entity_anchor,4259,0,0,4259,0,0.0,0.0,100.0,0.0
order_only_weak_match,3692,0,0,3692,0,0.0,0.0,100.0,0.0
low_lexical_overlap,2647,0,0,2647,0,0.0,0.0,100.0,0.0
strong_link,809,809,0,0,0,100.0,0.0,0.0,0.0
overlaps_reviewed_split_or_gold,240,27,75,138,0,11.25,31.25,57.5,0.0
focused_qa_rule_match,171,78,93,0,0,45.61,54.39,0.0,0.0
weak_similarity,120,0,0,120,0,0.0,0.0,100.0,0.0
v4_gold_match,68,61,7,0,0,89.71,10.29,0.0,0.0
